Product name,Product price,Product rating,Product review/s,Product sold,Product category,Product picture,Product specsification,Product Link,Store Name,Store Location,Store rating,Store process duration,Store follower
DGM Fashion   Celana Jeans Sobek Pria Biru Aa 5832,97500.0,4.6,"1,2RB","2,3RB",,https://cf.shopee.co.id/file/ddaa995a3285e850ace83a732203d2d8_tn,"{'Negara Asal': 'Indonesia', 'Bahan': 'Katun', 'Panjang Celana': 'Panjang', 'Stok': '1890', 'Dikirim Dari': 'KOTA TANGERANG SELATAN - CIPUTAT TIMUR, BANTEN, ID'}",https://shopee.co.id/DGM-Fashion-Celana-Jeans-Sobek-Pria-Biru-Aa-5832-i.3898130.919459359?ads_keyword=wkdaelpmissisiht&adsid=57213032&campaignid=2411433&position=0,dgm_fashion1,KOTA TANGERANG SELATAN,4.7,hitungan jam,"37,5RB"
Motz Celana Chino Panjang Reguler,130000.0,4.7,"10,9RB",10RB+,,https://cf.shopee.co.id/file/7325fac8fd9e7f1e7e8276eab6b4bfa4_tn,"{'Negara Asal': 'Indonesia', 'Bahan': 'Katun', 'Tipe Bawahan': 'Reguler', 'Panjang Celana': 'Panjang', 'Motif': 'Polos', 'Gaya': 'Basic', 'Stok Diskon': '1875', 'Stok Lain': '1049', 'Dikirim Dari': 'KOTA BANDUNG - BOJONGLOA KALER, JAWA BARAT, ID'}",https://shopee.co.id/Motz-Celana-Chino-Panjang-Reguler-i.42577154.780661576?ads_keyword=wkdaelpmissisiht&adsid=21329254&campaignid=655240&position=1,motzint,KOTA BANDUNG,4.8,hitungan jam,"115,5RB"
Hammerstout - Sander - Boardshort,150500.0,4.9,162,252,,https://cf.shopee.co.id/file/ec46695aa9ea2e64965b4da67554a86c_tn,"{'Negara Asal': 'Indonesia', 'Bahan': 'nylon', 'Acara': 'Lainnya', 'Motif': 'Lainnya', 'Gaya': 'Basic', 'Jenis Celana Pendek': 'Celana Pantai', 'Stok': '40', 'Dikirim Dari': 'KOTA BANDUNG - KIARACONDONG, JAWA BARAT, ID'}",https://shopee.co.id/Hammerstout-Sander-Boardshort-i.81405316.2797127605?ads_keyword=celana%20pendek%20pria&adsid=4852504&campaignid=4388002&position=2,hammerstout,KOTA BANDUNG,4.8,hitungan jam,"82,1RB"
Motz Celana Chino Pendek,120000.0,4.8,"3,6RB","6,6RB",,https://cf.shopee.co.id/file/a29ba8ab9d3d7c638ed7300e5336f0da_tn,"{'Negara Asal': 'Indonesia', 'Bahan': 'Katun', 'Acara': 'Kasual', 'Motif': 'Polos', 'Gaya': 'Basic', 'Jenis Celana Pendek': 'Lainnya', 'Stok': '6451', 'Dikirim Dari': 'KOTA BANDUNG - BOJONGLOA KALER, JAWA BARAT, ID'}",https://shopee.co.id/Motz-Celana-Chino-Pendek-i.42577154.6368095319?ads_keyword=wkdaelpmissisiht&adsid=41753235&campaignid=25226651&position=3,motzint,KOTA BANDUNG,4.8,hitungan jam,"115,5RB"
Reclays Pants Jake Black,115000.0,4.8,77,130,,https://cf.shopee.co.id/file/b8e30352d0e01d32ab33127129035635_tn,"{'Negara Asal': 'Indonesia', 'Bahan': 'Kanvas Stretch', 'Tipe Bawahan': 'Slim Fit', 'Gaya': 'Streetwear', 'Stok Diskon': '186', 'Stok Lain': '849', 'Dikirim Dari': 'KOTA BANDUNG - REGOL, JAWA BARAT, ID'}",https://shopee.co.id/Reclays-Pants-Jake-Black-i.251117557.5558757509?ads_keyword=wkdaelpmissisiht&adsid=56057120&campaignid=34029678&position=4,reclays.afterlife,KOTA BANDUNG,4.8,hitungan jam,"200,9RB"
Seattle Custom Celana Boxer Futsal Dri-Fit Berkantong Fire Api,39999.0,5.0,2,9,,https://cf.shopee.co.id/file/5dde872f08dff143c682530602bb7ccf_tn,"{'Tipe Pakaian Dalam': 'Boxers & Trunks', 'Stok': '15346', 'Dikirim Dari': 'KAB. TANGERANG - PAGEDANGAN, BANTEN, ID'}",https://shopee.co.id/Seattle-Custom-Celana-Boxer-Futsal-Dri-Fit-Berkantong-Fire-Api-i.136124711.5591627594?position=5,seattle.officialstore,KAB. TANGERANG,4.8,hitungan jam,"17,6RB"
MILLS Nomor Celana (HANYA NOMOR SAJA),40000.0,5.0,19,25,,https://cf.shopee.co.id/file/ea07c80829fed211c993ade8a2263c2e_tn,"{'Bahan': 'Lainnya', 'Stok': '27', 'Dikirim Dari': 'KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID'}",https://shopee.co.id/MILLS-Nomor-Celana-(HANYA-NOMOR-SAJA)-i.86615202.3433725283?position=6,mills_official,KOTA JAKARTA BARAT,4.9,hitungan jam,"44,4RB"
Transmart - GT Man Celana Boxer Pria Seamless - AO6,50000.0,5.0,35,144,,https://cf.shopee.co.id/file/fc690d3aa0e64ed34c2a9147514c123c_tn,"{'Tipe Pakaian Dalam': 'Boxers & Trunks', 'Stok': '53', 'Dikirim Dari': 'KOTA JAKARTA SELATAN - KEBAYORAN LAMA, DKI JAKARTA, ID'}",https://shopee.co.id/Transmart-GT-Man-Celana-Boxer-Pria-Seamless-AO6-i.318223681.4861424477?position=7,transmartfashionofficialstore,KOTA JAKARTA SELATAN,4.9,hitungan jam,"8,6RB"
Transmart - Rider Celana Pria Boxer Charcoal - R812BCR,50000.0,5.0,3,9,,https://cf.shopee.co.id/file/d6a68916110fbb5c42a4d94d6a671ea5_tn,"{'Tipe Pakaian Dalam': 'Boxers & Trunks', 'Stok': '44', 'Dikirim Dari': 'KOTA JAKARTA SELATAN - KEBAYORAN LAMA, DKI JAKARTA, ID'}",https://shopee.co.id/Transmart-Rider-Celana-Pria-Boxer-Charcoal-R812BCR-i.318223681.8703003614?position=8,transmartfashionofficialstore,KOTA JAKARTA SELATAN,4.9,hitungan jam,"8,6RB"
FTSL - CELANA PENDEK PRIA CARGO - KPO,55000.0,5.0,9,19,,https://cf.shopee.co.id/file/a5e50bc6afc21a9928b8e11e2e1c1569_tn,"{'Bahan': 'Katun', 'Jenis Celana Pendek': 'Cargo', 'Stok': '2997', 'Dikirim Dari': 'KOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID'}",https://shopee.co.id/FTSL-CELANA-PENDEK-PRIA-CARGO-KPO-i.295843428.7767656932?position=9,ftslofficialstore,KOTA JAKARTA UTARA,4.6,hitungan jam,"4,1RB"
