Product name,Product price,Product rating,Product review/s,Product sold,Product category,Product picture,Product specsification,Product Link,Store Name,Store Location,Store rating,Store process duration,Store follower
Hammerstout - Sander - Boardshort,150500.0,4.9,159,248,,https://cf.shopee.co.id/file/ec46695aa9ea2e64965b4da67554a86c_tn,"{'Negara Asal': 'Indonesia', 'Bahan': 'nylon', 'Acara': 'Lainnya', 'Motif': 'Lainnya', 'Gaya': 'Basic', 'Jenis Celana Pendek': 'Celana Pantai', 'Stok': '43', 'Dikirim Dari': 'KOTA BANDUNG - KIARACONDONG, JAWA BARAT, ID'}",https://shopee.co.id/Hammerstout-Sander-Boardshort-i.81405316.2797127605?ads_keyword=celana%20pendek%20pria&adsid=4852504&campaignid=4388002&position=0,hammerstout,KOTA BANDUNG,4.8,hitungan jam,"81,2RB"
Jimmy and Martin - Classic 5 Pocket Denim Pants - 1000,147960.0,4.8,599,931,,https://cf.shopee.co.id/file/551e906dc385cd15b53c3cb68324dffc_tn,"{'Bahan': 'Denim', 'Stok': '75', 'Dikirim Dari': 'KOTA BANDUNG - CICENDO, JAWA BARAT, ID'}",https://shopee.co.id/Jimmy-and-Martin-Classic-5-Pocket-Denim-Pants-1000-i.240627217.7188501077?ads_keyword=wkdaelpmissisiht&adsid=49014044&campaignid=29871808&position=1,jimmyandmartin1977,KOTA BANDUNG,4.8,hitungan jam,"67,6RB"
TOPTEN Celana pendek kolor CP 0731,39000.0,5.0,11,24,,https://cf.shopee.co.id/file/27de470d2ab408476217d745ca94bc63_tn,"{'Negara Asal': 'Indonesia', 'Bahan': 'Katun', 'Jenis Celana Pendek': 'Lainnya', 'Stok': '14', 'Dikirim Dari': 'KOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID'}",https://shopee.co.id/TOPTEN-Celana-pendek-kolor-CP-0731-i.96058796.3395320507?ads_keyword=celana%20pendek%20kolor&adsid=58035042&campaignid=35117033&position=2,toptenofficial,KOTA SURABAYA,4.6,hitungan jam,"3,9RB"
Motz Celana Panjang Cargo Reguler,150000.0,4.8,"3,7RB","6,2RB",,https://cf.shopee.co.id/file/bc9418144556bd7fe87183f078794830_tn,"{'Negara Asal': 'Indonesia', 'Bahan': 'Katun', 'Tipe Bawahan': 'Straight', 'Motif': 'Polos', 'Gaya': 'Basic', 'Stok': '883', 'Dikirim Dari': 'KOTA BANDUNG - BOJONGLOA KALER, JAWA BARAT, ID'}",https://shopee.co.id/Motz-Celana-Panjang-Cargo-Reguler-i.42577154.1713729414?ads_keyword=wkdaelpmissisiht&adsid=16064763&campaignid=1815227&position=3,motzint,KOTA BANDUNG,4.8,hitungan jam,"114,7RB"
Hammerstout - Combat Loose Olive - Cargo,187500.0,4.8,"3,9RB","6,3RB",,https://cf.shopee.co.id/file/8446ee8ecb118244fba26a4eebd6d3c2_tn,"{'Negara Asal': 'Indonesia', 'Bahan': 'Katun', 'Tipe Bawahan': 'Straight', 'Gaya': 'Street Style', 'Tinggi Pinggang': 'Mid Waist', 'Ukuran Jumbo': 'Ya', 'Stok': '160', 'Dikirim Dari': 'KOTA BANDUNG - KIARACONDONG, JAWA BARAT, ID'}",https://shopee.co.id/Hammerstout-Combat-Loose-Olive-Cargo-i.81405316.2797043570?ads_keyword=celana%20pria&adsid=4285873&campaignid=4003835&position=4,hammerstout,KOTA BANDUNG,4.8,hitungan jam,"81,2RB"
Seattle Custom Celana Boxer Futsal Dri-Fit Berkantong Fire Api,39999.0,5.0,2,9,,https://cf.shopee.co.id/file/5dde872f08dff143c682530602bb7ccf_tn,"{'Tipe Pakaian Dalam': 'Boxers & Trunks', 'Stok': '15350', 'Dikirim Dari': 'KAB. TANGERANG - PAGEDANGAN, BANTEN, ID'}",https://shopee.co.id/Seattle-Custom-Celana-Boxer-Futsal-Dri-Fit-Berkantong-Fire-Api-i.136124711.5591627594?position=5,seattle.officialstore,KAB. TANGERANG,4.8,hitungan jam,"17,4RB"
TOPTEN Celana pendek kolor CP 0731,39000.0,5.0,11,24,,https://cf.shopee.co.id/file/27de470d2ab408476217d745ca94bc63_tn,"{'Negara Asal': 'Indonesia', 'Bahan': 'Katun', 'Jenis Celana Pendek': 'Lainnya', 'Stok': '14', 'Dikirim Dari': 'KOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID'}",https://shopee.co.id/TOPTEN-Celana-pendek-kolor-CP-0731-i.96058796.3395320507?position=6,toptenofficial,KOTA SURABAYA,4.6,hitungan jam,"3,9RB"
MILLS Nomor Celana (HANYA NOMOR SAJA),40000.0,5.0,19,25,,https://cf.shopee.co.id/file/ea07c80829fed211c993ade8a2263c2e_tn,"{'Bahan': 'Lainnya', 'Stok': '27', 'Dikirim Dari': 'KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID'}",https://shopee.co.id/MILLS-Nomor-Celana-(HANYA-NOMOR-SAJA)-i.86615202.3433725283?position=7,mills_official,KOTA JAKARTA BARAT,4.9,hitungan jam,44RB
Transmart - GT Man Celana Boxer Pria Seamless - AO6,50000.0,5.0,35,143,,https://cf.shopee.co.id/file/fc690d3aa0e64ed34c2a9147514c123c_tn,"{'Tipe Pakaian Dalam': 'Boxers & Trunks', 'Stok': '64', 'Dikirim Dari': 'KOTA JAKARTA SELATAN - KEBAYORAN LAMA, DKI JAKARTA, ID'}",https://shopee.co.id/Transmart-GT-Man-Celana-Boxer-Pria-Seamless-AO6-i.318223681.4861424477?position=8,transmartfashionofficialstore,KOTA JAKARTA SELATAN,4.9,hitungan jam,"8,6RB"
Transmart - Rider Celana Pria Boxer Charcoal - R812BCR,50000.0,5.0,3,9,,https://cf.shopee.co.id/file/d6a68916110fbb5c42a4d94d6a671ea5_tn,"{'Tipe Pakaian Dalam': 'Boxers & Trunks', 'Stok': '44', 'Dikirim Dari': 'KOTA JAKARTA SELATAN - KEBAYORAN LAMA, DKI JAKARTA, ID'}",https://shopee.co.id/Transmart-Rider-Celana-Pria-Boxer-Charcoal-R812BCR-i.318223681.8703003614?position=9,transmartfashionofficialstore,KOTA JAKARTA SELATAN,4.9,hitungan jam,"8,6RB"
